book_id,authors,author_id
177,Fyodor Dostoyevsky,177
178,Sylvia Plath,178
179,Frank McCourt,179
180,Hermann Hesse,180
181,Truman Capote,181
182,Kami Garcia,182
183,Cassandra Clare,51
184,Roald Dahl,158
185,Erin Morgenstern,185
186,Philippa Gregory,186
187,Scott Westerfeld,187
188,George R.R. Martin,39
189,J.R.R. Tolkien,7
190,Cheryl Strayed,190
191,Alan Moore,191
192,Patrick Rothfuss,192
193,Malcolm Gladwell,127
194,Herman Melville,194
195,Mary Ann Shaffer,195
196,Chuck Palahniuk,196
197,Charlaine Harris,197
198,Alice Walker,198
199,John Grogan,199
200,Agatha Christie,200
201,Dan Brown,9
202,Becca Fitzpatrick,202
203,Jamie McGuire,203
204,Charles Dickens,83
205,Anne Rice,205
206,Kiera Cass,206
207,Janet Evanovich,207
208,Rebecca Skloot,208
209,Thomas Harris,209
210,Richelle Mead,210
211,Malcolm Gladwell,127
212,Ian McEwan,212
213,Franz Kafka,213
214,Rick Riordan,41
215,Ernest Cline,215
216,Garth Stein,216
217,Erik Larson,217
218,Sylvia Day,218
219,C.S. Lewis,37
220,Mark Cotta Vaz,220
221,Dave Pelzer,221
222,Robert Ludlum,222
223,Eoin Colfer,223
224,Lauren Kate,224
225,John Steinbeck,32
226,Gillian Flynn,30
227,John Grisham,86
228,Emma McLaughlin,228
229,Lewis Carroll,229
230,Jane Austen,10
231,Tatiana de Rosnay,231
232,Stephen King,72
233,Gabriel García Márquez,94
234,Laurie Halse Anderson,234
235,Liane Moriarty,235
236,Jon Krakauer,82
237,Stephen King,72
238,Augusten Burroughs,238
239,Max Brooks,239
240,Dan Brown,9
241,Lois Lowry,36
242,James Patterson,242
243,Stephen King,72
244,Gillian Flynn,30
245,Katherine Paterson,245
246,P.C. Cast,246
247,Stephen R. Covey,247
248,William Shakespeare,29
249,Jonathan Safran Foer,249
250,R.J. Palacio,250
251,Dr. Seuss,157
252,Marissa Meyer,252
253,Robert Galbraith,253
254,Maggie Stiefvater,254
255,Ayn Rand,255
256,Greg Mortenson,256
257,Jane Carruth,257
258,Carlos Ruiz Zafón,258
259,James Dashner,91
260,Dale Carnegie,260
261,Frances Mayes,261
262,Liane Moriarty,235
263,Gail Carson Levine,263
264,Ernest Hemingway,130
265,Betty  Smith,265
266,James Patterson,242
267,Kristin Hannah,267
268,Kazuo Ishiguro,268
269,Cecelia Ahern,269
270,Daphne du Maurier,270
271,Daniel Keyes,271
272,Laura Esquivel,272
273,Lisa See,273
274,Mario Puzo,274
275,John Green,6
276,Isaac Asimov,276
277,Neil Gaiman,167
278,Shel Silverstein,50
279,John Tiffany,279
280,Lauren Oliver,280
281,John Grisham,86
282,Neil Gaiman,167
283,Terry Pratchett,283
284,Jack Kerouac,284
285,Graeme Simsion,285
286,Nicholas Sparks,44
287,Ayn Rand,255
288,Tom Clancy,288
289,Richard Adams,289
290,Mindy Kaling,290
291,Abraham Verghese,291
292,C.S. Lewis,37
293,Robert Louis Stevenson,293
294,Rick Riordan,41
295,Stephen King,72
296,Eric Carle,296
297,Kurt Vonnegut Jr.,65
298,H.G. Wells,298
299,Todd Burpo,299
300,John Boyne,300
301,Joseph Conrad,301
302,Nicholas Sparks,44
303,Rhonda Byrne,303
304,Wally Lamb,304
305,Stephen King,72
306,Wally Lamb,304
307,Patrick Rothfuss,192
308,Sophie Kinsella,108
309,Cassandra Clare,51
310,Jennifer Weiner,310
311,Colleen McCullough,311
312,Neil Gaiman,167
313,M.L. Stedman,313
314,Cornelia Funke,314
315,Spencer Johnson,315
316,Bill Bryson,316
317,Maya Angelou,317
318,Christina Baker Kline,318
319,Cassandra Clare,51
320,Maria Semple,320
321,Wilson Rawls,321
322,Neil Gaiman,167
323,Milan Kundera,323
324,Rainbow Rowell,164
325,John Irving,325
326,Janet Fitch,326
327,Marie Lu,327
328,Jodi Picoult,64
329,Randy Pausch,329
330,Robert Jordan,330
331,Jodi Picoult,64
332,C.S. Lewis,37
333,Lisa Genova,333
334,Sylvia Day,218
335,Roald Dahl,158
336,James Patterson,242
337,Douglas Adams,54
338,David Nicholls,338
339,Margaret Wise Brown,339
340,Pittacus Lore,340
341,Homer,79
342,J.K. Rowling,2
343,John Grisham,86
344,David Sedaris,101
345,Christopher Paolini,53
346,L. Frank Baum,346
347,C.S. Lewis,37
348,E. Lockhart,348
349,Stephen King,72
350,Hunter S. Thompson,350
351,Cassandra Clare,51
352,Amy Poehler,352
353,William Shakespeare,29
354,Toni Morrison,354
355,Kristin Cashore,355
356,Lemony Snicket,356
357,Erich Maria Remarque,357
358,Dr. Seuss,157
359,Khaled Hosseini,11
360,Philip K. Dick,360
361,Charles Dickens,83
362,C.S. Lewis,37
363,Stephanie Perkins,363
364,Dr. Seuss,157
365,Alan Moore,191
366,David McCullough,366
367,Dean Koontz,367
368,Philip Pullman,62
369,Jerry Spinelli,369
370,Rick Riordan,41
371,Robert A. Heinlein,371
372,David Sedaris,101
373,Roald Dahl,158
374,Bill Bryson,316
375,Jack London,375
376,James Dashner,91
377,Neil Gaiman,167
378,Jhumpa Lahiri,378
379,Deborah Harkness,379
380,Haruki Murakami,380
381,Billie Letts,381
382,John Green,6
383,James Frey,383
384,Richelle Mead,210
385,Susan Cain,385
386,Scott O'Dell,386
387,Arthur Miller,387
388,Gary Paulsen,388
389,Brandon Sanderson,389
390,Robert Louis Stevenson,293
391,Dr. Seuss,157
392,Jeff Kinney,392
393,Sarah J. Maas,393
394,Richelle Mead,210
395,Ernest Hemingway,130
396,Jamie Ford,396
397,Patrick Süskind,397
398,Eric Schlosser,398
399,J.K. Rowling,2
400,William Gibson,400
401,Ernest Hemingway,130
402,Edgar Allan Poe,402
403,Sun Tzu,403
404,William Landay,404
405,Kurt Vonnegut Jr.,65
406,Betty Edwards,406
407,Ann Patchett,407
408,Jared Diamond,408
409,Fannie Flagg,409
410,Chinua Achebe,410
411,Sophie Kinsella,108
412,Gary Chapman,412
413,Alexandre Dumas,103
414,Chris Cleave,414
415,Alyson Noel,415
416,Roald Dahl,158
417,Diane Setterfield,417
418,Richelle Mead,210
419,Richelle Mead,210
420,Nicholas Sparks,44
421,Paula McLain,421
422,J.K. Rowling,2
423,Kiera Cass,206
424,Umberto Eco,424
425,Beatrice Sparks,425
426,John Kennedy Toole,426
427,Oscar Wilde,95
428,Rick Riordan,41
429,Terry Pratchett,283
430,Haruki Murakami,380
431,Thomas Harris,209
432,Isaac Asimov,276
433,J.R. Ward,433
434,Becca Fitzpatrick,202
435,Lauren Oliver,280
436,Arundhati Roy,436
437,Sue Monk Kidd,57
438,Liane Moriarty,235
439,Stephen Hawking,439
440,Ken Follett,142
441,Stephen King,72
442,Neal Stephenson,442
443,Sarah Dessen,443
444,A.A. Milne,444
445,S.J. Watson,445
446,Arthur Conan Doyle,446
447,Christopher Paolini,53
448,Rick Warren,448
449,P.C. Cast,246
450,Jim Butcher,450
451,Jane Austen,10
452,Rick Yancey,452
453,Charles Frazier,453
454,Laura Joffe Numeroff,454
455,Emily Giffin,156
456,Tennessee Williams,456
457,Elizabeth Kostova,457
458,Emily St. John Mandel,458
459,Fredrik Backman,459
460,Cassandra Clare,51
461,Pearl S. Buck,461
462,John Berger,462
463,Diana Gabaldon,137
464,Anonymous,464
465,Jennifer Weiner,310
466,Chuck Dixon,466
467,Junot Díaz,467
468,Zora Neale Hurston,468
469,Newt Scamander,469
470,Malala Yousafzai,470
471,Jane Austen,10
472,Viktor E. Frankl,472
473,Tana French,473
474,Richard Dawkins,474
475,Gayle Forman,149
476,John Irving,325
477,Lee Child,477
478,Daniel Defoe,478
479,Niccolò Machiavelli,479
480,Philip Pullman,62
481,Terry Goodkind,481
482,Kathleen Grissom,482
483,J.D. Salinger,8
484,Chuck Palahniuk,196
485,Fyodor Dostoyevsky,177
486,Jeanne DuPrau,486
487,Michael Crichton,84
488,Stephen King,72
489,Kahlil Gibran,489
490,Art Spiegelman,490
491,P.C. Cast,246
492,Orson Scott Card,70
493,C.S. Lewis,37
494,Donna Tartt,146
495,Dave Eggers,495
496,Jean M. Auel,496
497,Anna Sewell,497
498,Leo Tolstoy,172
499,Bret Easton Ellis,499
500,Meg Cabot,500
501,Alexander McCall Smith,501
502,Robert Kirkman,502
503,Arthur C. Clarke,503
504,Francine Rivers,504
505,Tim LaHaye,505
506,Kiera Cass,206
507,Suzanne Collins,1
508,Barbara Ehrenreich,508
509,Sophie Kinsella,108
510,Robert Jordan,330
511,Patricia Cornwell,511
512,Edgar Allan Poe,402
513,Corrie ten Boom,513
514,Arthur Conan Doyle,446
515,Pat Conroy,515
516,Michael Chabon,516
517,Simone Elkeles,517
518,J.M. Barrie,518
519,Scott Westerfeld,187
520,Haruki Murakami,380
521,Michael Connelly,521
522,David Mitchell,522
523,Tim O'Brien,523
524,Banksy,524
525,Lauren Oliver,280
526,Jeff Lindsay,526
527,Charlaine Harris,197
528,Robert Jordan,330
529,Jonathan Swift,529
530,William Shakespeare,29
531,Unknown,531
532,Frank Miller,532
533,Harper Lee,4
534,David Sedaris,101
535,Laini Taylor,535
536,Victoria Aveyard,536
537,Charles Duhigg,537
538,John Berendt,538
539,Colleen Hoover,539
540,Frances Hodgson Burnett,93
541,Sarah Dessen,443
542,C.S. Lewis,37
543,Richelle Mead,210
544,Laura Ingalls Wilder,544
545,Margery Williams Bianco,545
546,Robert M. Pirsig,546
547,H.G. Wells,298
548,Sara Shepard,548
549,Don Freeman,549
550,Michael Pollan,550
551,Kate Atkinson,551
552,Nicholas Sparks,44
553,Stephen King,72
554,Diana Gabaldon,137
555,Kenneth Branagh,555
556,Stephen King,72
557,Jeffrey Eugenides,115
558,Charlaine Harris,197
559,Thomas Hardy,559
560,Gustave Flaubert,560
561,Norton Juster,561
562,Brandon Sanderson,389
563,Charlaine Harris,197
564,Ned Vizzini,564
565,Brandon Sanderson,389
566,Jojo Moyes,112
567,Vanessa Diffenbaugh,567
568,Frank Miller,532
569,James Patterson,242
570,Nick Hornby,570
571,Nicholas Sparks,44
572,Margaret Atwood,119
573,John Gray,573
574,Anthony Bourdain,574
575,Michael Crichton,84
576,Voltaire,576
577,Natalie Babbitt,577
578,Stephen King,72
579,P.D. Eastman,579
580,E.H. Gombrich,580
581,Marissa Meyer,252
582,Robert T. Kiyosaki,582
583,Becca Fitzpatrick,202
584,Lev Grossman,584
585,Tsugumi Ohba,585
586,Libba Bray,586
587,Jonathan Safran Foer,249
588,Robert Ludlum,222
589,Tammara Webber,589
590,Charles Dickens,83
591,Sherman Alexie,591
592,Mikhail Bulgakov,592
593,Ursula K. Le Guin,593
594,Kate DiCamillo,594
595,John Knowles,595
596,John Grisham,86
597,Miguel de Cervantes Saavedra,597
598,Robin Hobb,598
599,Douglas Adams,54
600,Lauren Kate,224
601,Beatrix Potter,601
602,C.S. Lewis,37
603,Brandon Sanderson,389
604,Susanna Kaysen,604
605,Chelsea Handler,605
606,Richard Bach,606
607,Cassandra Clare,51
608,Robert Munsch,608
609,Stephen King,72
610,Daniel James Brown,610
611,J.R.R. Tolkien,7
612,Stephen King,72
613,Kate Morton,613
614,Franz Kafka,213
615,Sarah Dessen,443
616,Jodi Picoult,64
617,Piper Kerman,617
618,Arthur Conan Doyle,446
619,Daniel Kahneman,619
620,Marion Zimmer Bradley,620
621,Judy Blume,621
622,Nicholas Sparks,44
623,Stephen King,72
624,Charlaine Harris,197
625,Chris Bohjalian,625
626,Chris Van Allsburg,626
627,Jon Scieszka,627
628,Tom Clancy,288
629,Paulo Coelho,35
630,Sheryl Sandberg,630
631,Charlaine Harris,197
632,Tahereh Mafi,632
633,Robert A. Heinlein,371
634,Sophie Kinsella,108
635,Jostein Gaarder,635
636,Mark Cotta Vaz,220
637,Ray Bradbury,48
638,Jennifer Egan,638
639,Johanna Spyri,639
640,Michael Crichton,84
641,C.S. Lewis,37
642,Ken Follett,142
643,P.C. Cast,246
644,Colleen Hoover,539
645,Alex Flinn,645
646,Geoffrey Chaucer,646
647,Emily Giffin,156
648,Christopher Paolini,53
649,Haruki Murakami,380
650,Harriet Beecher Stowe,650
651,Gaston Leroux,651
652,Charlaine Harris,197
653,José Saramago,653
654,Jonathan Franzen,654
655,Ally Condie,166
656,Ally Carter,656
657,Aravind Adiga,657
658,Jonathan Franzen,654
659,Barack Obama,659
660,Michael Crichton,84
661,Judith Viorst,661
662,Jhumpa Lahiri,378
663,Howard Zinn,663
664,Truman Capote,181
665,Justin Cronin,665
666,Neil Gaiman,167
667,Sarah Dessen,443
668,Celeste Ng,668
669,Isabel Allende,669
670,Stephen King,72
671,Agatha Christie,200
672,Agatha Christie,200
673,Chimamanda Ngozi Adichie,673
674,James Patterson,242
675,Stephen King,72
676,Sylvia Day,218
677,Christopher McDougall,677
678,Gabrielle Zevin,678
679,Ludwig Bemelmans,679
680,Napoleon Hill,680
681,Laura Ingalls Wilder,544
682,Susanna Clarke,682
683,Nicholas Sparks,44
684,Rick Riordan,41
685,Michael  Grant,685
686,Nicholas Sparks,44
687,David McCullough,366
688,Jon Krakauer,82
689,Jess Walter,689
690,Barack Obama,659
691,Stephen King,72
692,Kristin Hannah,267
693,Michael Crichton,84
694,Emily Giffin,156
695,Robert Galbraith,253
696,Anne Rice,205
697,Ann Patchett,407
698,Matthew Quick,698
699,Jules Verne,699
700,Philippa Gregory,186
701,Virginia Woolf,701
702,Jonas Jonasson,702
703,Stephen King,72
704,John Irving,325
705,Richard Bachman,705
706,Jules Verne,699
707,Sharon Creech,707
708,Paulo Coelho,35
709,J.D. Salinger,8
710,Julie Powell,710
711,Neal Shusterman,711
712,Diana Gabaldon,137
713,Marie Lu,327
714,William Shakespeare,29
715,Arthur Miller,387
716,Nicholas Sparks,44
717,Kate Egan,717
718,William Faulkner,718
719,Eckhart Tolle,719
720,Tite Kubo,720
721,Allie Brosh,721
722,Robert Jordan,330
723,Gregory David Roberts,723
724,Charlaine Harris,197
725,Stephen King,72
726,Jeffery Deaver,726
727,Bernhard Schlink,727
728,Bill Martin Jr.,728
729,Dan Simmons,729
730,John Steinbeck,32
731,William Peter Blatty,731
732,Stephenie Meyer,3
733,David Guterson,733
734,Alex Haley,734
735,Alan Moore,191
736,Ralph Ellison,736
737,Ishmael Beah,737
738,Robert C. O'Brien,738
739,Stephen King,72
740,Laura Ingalls Wilder,544
741,Melissa Bank,741
742,Hugh Howey,742
743,Christopher Moore,743
744,Eckhart Tolle,719
745,Jenny  Lawson,745
746,Scott Lynch,746
747,Garth Nix,747
748,Charlaine Harris,197
749,Jodi Picoult,64
750,Jennifer L. Armentrout,750
751,Douglas Adams,54
752,Sarah J. Maas,393
753,Bryan Lee O'Malley,753
754,Jeannette Walls,81
755,Terry Pratchett,283
756,Julie Kagawa,756
757,Larry McMurtry,757
758,Mary Roach,758
759,Richelle Mead,210
760,Orson Scott Card,70
761,Sophie Kinsella,108
762,Thomas Keneally,762
763,Toni Morrison,354
764,Philippa Gregory,186
765,Malcolm X,765
766,Neil Gaiman,167
767,Laura Hillenbrand,144
768,Dennis Lehane,768
769,Arthur Conan Doyle,446
770,William Shakespeare,29
771,Erik Larson,217
772,Plato,772
773,William Shakespeare,29
774,Marissa Meyer,252
775,Patti Smith,775
776,Phaidon Press,776
777,Jane Green,777
778,Victor Hugo,109
779,Rohinton Mistry,779
780,Bill Watterson,780
781,Scott Westerfeld,187
782,Kate Chopin,782
783,P.C. Cast,246
784,Mitch Albom,114
785,Tom Clancy,288
786,Shel Silverstein,50
787,Justin Halpern,787
788,Irvine Welsh,788
789,Isaac Asimov,276
790,Miguel Ruiz,790
791,Jodi Picoult,64
792,Jacob Grimm,792
793,E.L. Konigsburg,793
794,Stephen King,72
795,Nick Hornby,570
796,Samantha Young,796
797,Francis Chan,797
798,Dr. Seuss,157
799,Dean Koontz,367
800,Helen Keller,800
801,Jonathan Tropper,801
802,Seth Grahame-Smith,802
803,Natsuki Takaya,803
804,William Shakespeare,29
805,P.C. Cast,246
806,Stephen King,72
807,Dave Eggers,495
808,Brian Selznick,808
809,Aldous Huxley,55
810,Bisco Hatori,810
811,Mary Kubica,811
812,Abbi Glines,812
813,Rainbow Rowell,164
814,P.C. Cast,246
815,Cormac McCarthy,104
816,Hilary Mantel,816
817,Diana Wynne Jones,817
818,Stephen King,72
819,Henry David Thoreau,819
820,Kazuo Ishiguro,268
821,Nicholas Sparks,44
822,Julian Barnes,822
823,Sue Grafton,823
824,Sophocles,824
825,Lisa See,273
826,Kenneth Grahame,826
827,Jenny Han,827
828,Marjane Satrapi,828
829,E.M. Forster,829
830,Kody Keplinger,830
831,Sarah Dessen,443
832,J.D. Robb,832
833,John Grisham,86
834,Stephenie Meyer,3
835,Masashi Kishimoto,835
836,Rachel Joyce,836
837,David Levithan,837
838,Orson Scott Card,70
839,William Shakespeare,29
840,James Clavell,840
841,J.R. Ward,433
842,Sarah J. Maas,393
843,E.L. James,34
844,Bill Martin Jr.,728
845,Raina Telgemeier,845
846,George Orwell,13
847,Jacquelyn Mitchard,847
848,Amy Tan,118
849,Louise Rennison,849
850,Robin Sloan,850
851,V.C. Andrews,851
852,Paul Kalanithi,852
853,Jerry Spinelli,369
854,Chuck Palahniuk,196
855,William Shakespeare,29
856,Lois Lowry,36
857,Ellen Raskin,857
858,Pierce Brown,858
859,Brent Weeks,859
860,Barbara Kingsolver,100
861,Jamie McGuire,203
862,Brandon Sanderson,389
863,Sam McBratney,863
864,Diana Gabaldon,137
865,Stephen King,72
866,Peter Benchley,866
867,Nicole Krauss,867
868,Astrid Lindgren,868
869,Muriel Barbery,869
870,Doris Kearns Goodwin,870
871,Charlaine Harris,197
872,Albert Camus,162
873,Lemony Snicket,356
874,Susannah Cahalan,874
875,Melissa Marr,875
876,H.A. Rey,876
877,Michael Ende,877
878,Sylvia Nasar,878
879,Upton Sinclair,879
880,Kelley Armstrong,880
881,Oliver Sacks,881
882,Ken Follett,142
883,Margaret Atwood,119
884,Ransom Riggs,139
885,Andre Dubus III,885
886,M.R. Carey,886
887,William Faulkner,718
888,Crockett Johnson,888
889,J.R. Ward,433
890,Isaac Asimov,276
891,Jim Butcher,450
892,Malcolm Gladwell,127
893,Hiromu Arakawa,893
894,Terry Pratchett,283
895,Joan Didion,895
896,Lionel Shriver,896
897,Arthur C. Clarke,503
898,Anne Rice,205
899,Edith Wharton,899
900,Richard Dawkins,474
901,Geraldine Brooks,901
902,Michael Connelly,521
903,Ayn Rand,255
904,Sylvain Reynard,904
905,Judi Barrett,905
906,Helen Simonson,906
907,Nora Roberts,907
908,Jodi Picoult,64
909,Rick Riordan,41
910,John Scalzi,910
911,Stephen King,72
912,Janet Evanovich,207
913,Irma S. Rombauer,913
914,Joe Haldeman,914
915,Stephen King,72
916,Azar Nafisi,916
917,Joe Abercrombie,917
918,Eoin Colfer,223
919,Annie Proulx,919
920,Marie Kondō,920
921,Jennifer Niven,921
922,Kathy Reichs,922
923,Michael Scott,923
924,Jeffrey Eugenides,115
925,Isabel Allende,669
926,Jessica Knoll,926
927,Ellen Hopkins,927
928,Maggie Stiefvater,254
929,Richard Matheson,929
930,Elizabeth Strout,930
931,Lena Dunham,931
932,James C. Collins,932
933,Kristin Cashore,355
934,Samuel Beckett,934
935,Jack London,375
936,Stephen King,72
937,Philip Pullman,62
938,J.A. Redmerski,938
939,Kimberly McCreight,939
940,Jojo Moyes,112
941,Michael Cunningham,941
942,Alice Clayton,942
943,David Sedaris,101
944,Stephen King,72
945,Lauren Kate,224
946,James Dashner,91
947,Susan Ee,947
948,Richard Russo,948
949,Robert Jordan,330
950,Jandy Nelson,950
951,Chuck Palahniuk,196
952,Sophie Kinsella,108
953,Stephen King,72
954,Catherine Hardwicke,954
955,Sophie Kinsella,108
956,Richard Feynman,956
957,Maggie Stiefvater,254
958,L.M. Montgomery,133
959,James Joyce,959
960,Robert Jordan,330
961,George Eliot,961
962,Colleen Hoover,539
963,John Grisham,86
964,J.R.R. Tolkien,7
965,S.C. Stephens,965
966,Scott Turow,966
967,Stephen King,72
968,Stacy Schiff,968
969,Thomas L. Friedman,969
970,Brandon Sanderson,389
971,Marcus Pfister,971
972,Jules Verne,699
973,Gretchen Rubin,973
974,Philip K. Dick,360
975,Vincent Bugliosi,975
976,Robert Kapilow,976
977,Dante Alighieri,977
978,Deborah Harkness,379
979,Jodi Picoult,64
980,Patricia Briggs,980
981,Melissa de la Cruz,981
982,Caleb Carr,982
983,Ta-Nehisi Coates,983
984,John Milton,984
985,Michael   Lewis,985
986,Stephen King,72
987,Patrick Ness,987
988,Robert Jordan,330
989,Frederick Forsyth,989
990,Jason Fried,990
991,Rainbow Rowell,164
992,Stephenie Meyer,3
993,Carol Rifka Brunt,993
994,James Herriot,994
995,Michelle Hodkin,995
996,Janet Evanovich,207
997,Emmuska Orczy,997
998,Jon Stone,998
999,Judy Blume,621
1000,Leigh Bardugo,1000
1001,Herman Koch,1001
1002,Marie Lu,327
1003,Carl Sagan,1003
1004,Stephanie Perkins,363
1005,Zadie Smith,1005
1006,Chris Kyle,1006
1007,Chelsea Handler,605
1008,Pittacus Lore,340
1009,Meg Wolitzer,1009
1010,Bill Watterson,780
1011,Geraldine Brooks,901
1012,Kate Morton,613
1013,Better Homes and Gardens,1013
1014,Douglas Adams,54
1015,Hermann Hesse,180
1016,Tess Gerritsen,1016
1017,Jojo Moyes,112
1018,Robin Hobb,598
1019,Arthur C. Clarke,503
1020,Kate DiCamillo,594
1021,Barbara Kingsolver,100
1022,Sarah J. Maas,393
1023,Robert Jordan,330
1024,Alan Bradley,1024
1025,Donald Miller,1025
1026,Diana Gabaldon,137
1027,Rick Riordan,41
1028,Liane Moriarty,235
1029,Brian K. Vaughan,1029
1030,Chad Harbach,1030
1031,Ernest Hemingway,130
1032,Brandon Mull,1032
1033,Lemony Snicket,356
1034,Jim Butcher,450
1035,Walter Isaacson,128
1036,S.C. Stephens,965
1037,John Grisham,86
1038,Mildred D. Taylor,1038
1039,Seth Grahame-Smith,802
1040,David Sedaris,101
1041,Fyodor Dostoyevsky,177
1042,Douglas Adams,54
1043,Jeff Kinney,392
1044,Mindy Kaling,290
1045,Veronica Roth,12
1046,Aziz Ansari,1046
1047,Katherine Applegate,1047
1048,Sebastian Junger,1048
1049,Brandon Sanderson,389
1050,Patrick Ness,987
1051,Jim Fergus,1051
1052,Jodi Picoult,64
1053,Stephen King,72
1054,Ally Condie,166
1055,Salman Rushdie,1055
1056,Max Brooks,239
1057,John Grisham,86
1058,Agatha Christie,200
1059,Margaret Peterson Haddix,1059
1060,Michael Pollan,550
1061,Elizabeth George Speare,1061
1062,Kiera Cass,206
1063,Sophie Kinsella,108
1064,Wilkie Collins,1064
1065,Robert Galbraith,253
1066,Jenny Han,827
1067,Janet Evanovich,207
1068,James McBride,1068
1069,Steven D. Levitt,92
1070,Karen Marie Moning,1070
1071,Terry Goodkind,481
1072,Emily Giffin,156
1073,William Makepeace Thackeray,1073
1074,Kurt Vonnegut Jr.,65
1075,Stephen King,72
1076,Cynthia D'Aprix Sweeney,1076
1077,Bill Willingham,1077
1078,David    Allen,1078
1079,James Redfield,1079
1080,Huntley Fitzpatrick,1080
1081,Ken Follett,142
1082,Haruki Murakami,380
1083,Alice Sebold,22
1084,Virginia Woolf,701
1085,Chetan Bhagat,1085
1086,Laurell K. Hamilton,1086
1087,Markus Zusak,47
